time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-22T11:39:49.968Z,-0.6262,99.1304,40.849,4.5,mb,41,151,3.305,0.87,us,us7000m89r,2024-05-27T14:19:24.040Z,"110 km W of Pariaman, Indonesia",earthquake,11.71,6.384,0.118,21,reviewed,us,us
2024-03-20T19:15:03.167Z,0.6505,97.3219,25.513,4.1,mb,16,171,0.697,0.77,us,us7000m7xp,2024-05-27T14:19:23.040Z,"54 km W of Teluk Dalam, Indonesia",earthquake,11.93,7.448,0.213,7,reviewed,us,us
2024-03-20T08:24:57.931Z,-2.0189,100.4628,67.702,5,mb,92,38,3.406,0.85,us,us6000mjy1,2024-05-27T14:19:20.040Z,"97 km E of Tuapejat, Indonesia",earthquake,7.34,4.856,0.055,104,reviewed,us,us
2024-03-13T09:34:19.316Z,-3.8292,101.774,61.252,4.3,mb,18,183,1.291,0.76,us,us6000mjst,2024-05-18T21:23:55.040Z,"54 km W of Bengkulu, Indonesia",earthquake,10.5,9.55,0.188,8,reviewed,us,us
2024-03-12T20:48:06.540Z,-0.1934,96.9602,19.154,4.4,mb,16,188,5.386,0.48,us,us6000mjma,2024-05-18T21:23:49.040Z,"126 km SW of Teluk Dalam, Indonesia",earthquake,11.97,3.208,0.219,7,reviewed,us,us
2024-03-11T08:47:38.340Z,0.0009,98.4934,35,4.2,mb,12,197,1.587,0.38,us,us6000mj4b,2024-05-18T21:23:11.040Z,"99 km SE of Teluk Dalam, Indonesia",earthquake,9.45,1.849,0.264,4,reviewed,us,us
2024-03-09T00:15:09.901Z,-0.9913,98.3412,10,4.4,mb,28,104,2.405,0.45,us,us6000mj0n,2024-05-15T17:35:02.040Z,"180 km NW of Tuapejat, Indonesia",earthquake,10.2,1.88,0.148,13,reviewed,us,us
2024-03-06T03:41:56.121Z,-3.2215,102.1651,84.089,4.3,mb,15,119,1.379,0.25,us,us6000mig6,2024-05-15T17:35:05.040Z,"48 km NW of Curup, Indonesia",earthquake,8.86,7.062,0.188,8,reviewed,us,us
2024-03-01T18:39:26.377Z,0.4993,98.4902,50.726,4.9,mb,153,44,1.215,0.78,us,us6000mg5q,2024-05-10T21:25:57.040Z,"76 km E of Teluk Dalam, Indonesia",earthquake,3.26,5.495,0.049,137,reviewed,us,us
2024-03-01T02:00:59.565Z,1.3908,99.0655,117.302,4.4,mb,47,88,1.302,0.75,us,us6000mfyy,2024-05-10T21:25:56.040Z,"22 km W of Padangsidempuan, Indonesia",earthquake,6.95,6.672,0.098,31,reviewed,us,us
2024-02-28T02:28:11.737Z,1.0956,98.7388,86.439,4.7,mb,57,59,1.181,0.56,us,us6000mfjf,2024-05-10T21:25:55.040Z,"67 km WSW of Padangsidempuan, Indonesia",earthquake,5.8,4.929,0.074,55,reviewed,us,us
2024-02-25T17:33:48.562Z,0.5112,98.5291,53.895,4.6,mb,70,122,1.236,0.73,us,us7000m1iw,2024-05-02T15:50:14.040Z,"81 km E of Teluk Dalam, Indonesia",earthquake,4.44,7.373,0.068,64,reviewed,us,us
2024-02-23T07:46:26.679Z,-0.6873,98.4764,19.996,5.3,mww,119,60,2.173,0.78,us,us7000m114,2024-05-02T15:50:13.040Z,"158 km SSE of Teluk Dalam, Indonesia",earthquake,7.97,4.149,0.093,11,reviewed,us,us
2024-02-19T14:48:54.277Z,-1.3008,100.0173,44.214,4.1,mb,15,120,3.557,0.48,us,us7000m13w,2024-05-02T15:50:13.040Z,"54 km SW of Padang, Indonesia",earthquake,5.39,9.351,0.261,4,reviewed,us,us
2024-02-16T08:22:48.050Z,2.1009,97.8425,57.79,4.4,mb,25,132,0.835,0.5,us,us7000m0kp,2024-04-24T14:42:06.040Z,"21 km SSE of Singkil, Indonesia",earthquake,6.91,8.403,0.139,15,reviewed,us,us
2024-02-11T13:39:06.583Z,1.6583,99.5612,172.256,4.2,mb,39,80,1.21,0.97,us,us7000lyg4,2024-04-20T19:35:37.040Z,"44 km NE of Padangsidempuan, Indonesia",earthquake,5.58,6.038,0.098,29,reviewed,us,us
2024-02-09T10:31:27.378Z,2.1497,97.6124,43.304,4,mb,10,162,0.841,0.52,us,us7000lz6w,2024-04-20T19:34:36.040Z,"24 km SW of Singkil, Indonesia",earthquake,7.97,4.945,0.299,3,reviewed,us,us
2024-02-06T00:03:55.087Z,-3.2977,101.5268,68.868,4.4,mb,24,182,1.774,0.46,us,us7000ly14,2024-04-20T19:33:12.040Z,"99 km NW of Bengkulu, Indonesia",earthquake,7.96,9.082,0.178,9,reviewed,us,us
2024-02-05T00:52:22.869Z,-2.152,100.4749,51.246,5,mww,214,26,3.308,0.59,us,us7000lx01,2024-04-20T19:32:47.040Z,"99 km E of Tuapejat, Indonesia",earthquake,7.19,4.572,0.098,10,reviewed,us,us
2024-02-04T16:32:25.831Z,1.8745,98.9652,121.898,4.7,mb,68,90,0.815,0.74,us,us7000lwye,2024-04-13T19:37:46.040Z,"25 km NE of Sibolga, Indonesia",earthquake,6.96,5.83,0.068,65,reviewed,us,us
2024-02-04T07:32:46.622Z,1.1678,96.8715,10,4.1,mb,20,76,0.717,0.75,us,us7000lxtm,2024-04-13T19:37:23.040Z,"83 km W of Gunungsitoli, Indonesia",earthquake,6.56,1.891,0.166,11,reviewed,us,us
2024-01-30T00:13:43.883Z,0.2214,97.5058,24.214,4.2,mb,15,204,1.077,0.69,us,us7000lwe2,2024-04-13T19:27:21.040Z,"51 km SW of Teluk Dalam, Indonesia",earthquake,11.45,7.301,0.237,5,reviewed,us,us
2024-01-27T16:35:40.140Z,0.2129,97.1941,10,4.2,mb,24,107,1.149,0.68,us,us7000lvug,2024-03-30T22:35:16.040Z,"78 km WSW of Teluk Dalam, Indonesia",earthquake,6.83,1.888,0.176,13,reviewed,us,us
2024-01-24T03:58:55.498Z,-3.3874,100.4953,26.641,4.2,mb,18,192,2.638,0.77,us,us7000lur7,2024-03-30T22:34:56.040Z,"177 km SW of Sungai Penuh, Indonesia",earthquake,7.4,7.762,0.176,9,reviewed,us,us
2024-01-23T09:05:01.768Z,-1.5186,100.5675,88.018,4.6,mb,27,154,3.695,0.49,us,us7000lu4p,2024-03-30T22:34:10.040Z,"67 km SSE of Padang, Indonesia",earthquake,9.22,8.17,0.165,12,reviewed,us,us
